bar,price,hodl,lp5,lp30,lpLive,lpProp,arb5,arb30,arbLive,arbProp,kLive,kProp
6216,2985609999999999934464,3282559001842495397547424,3047326668122604983774909,3126790137271747337663642,3216564962627483038862637,3287470613535422344811834,401507572995585118643558,329392701720020904776625,250284666979587723978460,224500851122455361389254,0,0
6228,3097550000000000327680,3368139387313555368493929,3103967934322928888682715,3185018410542757599233591,3276401368732294471027318,3348842152161913859849043,401841625196904332383797,329613566449907632940656,250691619667556424527946,224640946387511859833994,0,32178889124446160
6240,3179500000000000131072,3430791813518246044164203,3144794679161675804715184,3226976929033886030482951,3319540910598788914154364,3393421732136415882099389,402024006984651595531597,329699917478041177262318,250847596351680095649560,224688442000142977679512,50606944921902713,19086327101113576
6252,3218499999999999868928,3460608099326465477816083,3164069405081891728571187,3246909684969900180334103,3339937681021518262913084,3414746954313609444480408,402522274402181828963880,330012019941015303357793,250960453932765011130726,224838708858813752183077,6559907981411780,30767859587005676
6264,3087550000000000327680,3360494185824269637147718,3099068112946588222600800,3180298493336416683915323,3271362537811565179819686,3344431463527496376358285,402770424627123248916906,330196595360780949305846,251095030679910278808087,224894402423554792667960,0,16031765322959193
6276,3101869999999999803392,3371442114356930286268313,3106271291071984346856273,3187706614096474772508260,3278984717984305135949330,3352220408130272985614552,402861295584831419279576,330209276559096145812723,251142178776247756381590,224950147870439188932678,0,0
6288,3131400000000000262144,3394018394354790270462391,3121055393362709803893715,3202949992729438369661082,3294631352917090202991079,3368208796600438392505221,403014719723841288622923,330289461388768481798859,251256430203163928527619,225055201536163398141160,0,0
6300,3349699999999999868928,3560913142865888253364512,3228082000151527310427760,3313060718156245394318523,3408449648785639458810425,3485067579726196036251863,404065876076976575248747,331231073748047645602587,251511837001697643297106,225290157665924568072044,89103677886602846,34434070972621096
6312,3302499999999999868928,3524827791836455712060359,3205294827094744242783217,3289734288607163476900870,3384036911757981028601844,3460211184984008033168017,404259932654620559432797,331320082216819438479726,251768768319689396289131,225350117395013014473023,0,23199227815529736
6324,3223000000000000262144,3464048439996641658170179,3166517962834891768336504,3250042825699863039017949,3343168504623424497406211,3418467312015288270687978,404614238418499792740663,331615033325815954890943,252102597552427059362782,225585766183120326475610,0,39787545511595680
6336,2940940000000000131072,3248407886789857242794958,3024838265046177317940132,3104832479254770716432674,3195206232556592596038183,3267711335586537162165999,405286757998769656976361,332276519644832348707602,252291708782257617986194,225921458402982339587114,54682546446782926,50000000000000000
6348,2937810000000000196608,3246014938723716517645037,3023279702756060810694940,3103381684226073897255251,3192267515332756774912779,3266136753965321614049084,405880092254658975201110,332694361638289303240266,253363020995812190898833,225997990416991706170540,48252916606959953,28117012603451413
6360,2933800000000000262144,3242949212926508530540737,3021233465644061667879288,3101294718783076429725429,3190105030838885502430998,3264021289190363529646284,405906800195924532498794,332696146472669175396263,253402715917140990377763,226036682194515648850570,24896470202535686,17739960078127230
6372,2914050000000000196608,3227849939985169043526963,3011092801576179290853757,3091054727256553595023011,3179492230938273377037427,3253367349702261232135436,406640993856178280115036,333441365785290034785704,254523723108862834169149,226129498231010527917541,0,16992915343063026
6384,2925650000000000196608,3236718373712739598501291,3017128148654914778325738,3097393126974555038158060,3185992241974137938543052,3259862656512402006865082,407200585247260528720056,333851431381945135971820,254950637146483731887103,226485422854083047071994,0,37158777622430283
6396,2637150000000000327680,3016154310746864337784802,2864565700697631660822591,2940980390613802031962360,3025547340365767437344291,3098422152583733788599280,408242823176978615918559,334736407669377021073741,256135030584659823107789,226856681317684283642891,74783453646168620,50000000000000000
6408,2280800000000000262144,2743717555676181876283188,2664096561868796338631496,2735565574105735102540063,2820923759418789160586883,2887245650849293920705147,411200192800653629903616,337686148343071637283584,257779692177739550380259,229467357435106923504804,100000000000000000,46666666672161803
6420,2252380000000000131072,2721989893043632470240777,2647522976949409874451049,2718817635931576233654694,2804430449652381483205034,2869748100966557359343330,413093080936427074829297,339180143087556026268408,258241162989208008543970,229825085986908615970531,67797582195111406,33890426043509290
6432,1930910000000000065536,2476219600767580922934794,2451419552267559841595760,2517887074950449583811535,2606094999260024052924552,2662934394738298051476639,416490635869462271892060,342536042710239726354882,260099022685558478927544,232256338122263426100349,100000000000000000,36987368367831706
6444,2131249999999999934464,2629383567403919062837742,2575521913614534763022353,2645605818303397741798482,2734238856098242976946723,2799491657283088132793979,417871495864206560293199,343737891324543470058749,260121847077700442934677,232575288878042854755501,31268923009821593,0
6456,2001660000000000131072,2530309401304273272761283,2496058944095866935103303,2564219003155963485820822,2650320794717044351244126,2712734294971734179399380,419032981169937756125109,344731356868899312911384,260696497223254035452798,233869855243892537479719,74763802337776246,0
6468,1988209999999999934464,2520026605301184798257011,2487704638397142718867980,2555763078461456603696594,2641286891634150649583768,2703719807445526415958822,419650954637530598796903,345165359168451988920352,260959486130211799089316,234223283645353435340240,17797287765354280,0
6480,2098670000000000065536,2604475500951828264802996,2555938027595776037331525,2626057640866064489113815,2713909752823299993261144,2778363274612300242002972,420731419358945991309560,345980285518432839138276,261462865784620551290067,234770664958137311033314,0,32037583084901630
6492,1975320000000000000000,2510171940581496470639743,2479736038314604781887689,2547925504018131160558173,2633156889624478797674345,2695339668918407399354699,421450543327852238853557,346653954047164388123285,262169290126718143751301,235241861111707984813437,0,0
6504,1980729999999999934464,2514307994587198716523057,2483168527817888770391779,2551547082711427642355973,2636895798186204361943618,2699154063208851369760832,421787316523659184210152,346835566037997216216426,262362331725835204112141,235450801100764332820054,0,0
6516,1943539999999999868928,2485875490248548224773006,2459784356344723458518792,2527638133289021272884121,2612184983175485632961082,2673846230622681143262892,422111962486909866361115,347086658200274688254020,262619918286970765974743,235703949214787482752489,0,0
6528,1980400000000000000000,2514055702938051441815765,2483027354365181957775218,2551553320792933744202711,2636900029794529331026219,2699144028842217808773404,422217833576201937247074,347116498424403338750817,262666186245443704486675,235751830450823715442229,0,0
6540,1826670000000000065536,2396526020443268979946638,2384762425910092918725032,2450772733423880016135631,2532714550307392864470386,2592596057715690920844125,423430157430941234223772,348047030864504686078137,263716410373223266483954,236760175639909600793928,43333333346019386,30542408203036213
6552,2057710000000000065536,2573160755651715734637020,2531146640728560908560859,2601412254287127863188275,2688354431760391220396972,2751940056841494701729993,424792042710613998760851,349260219944641790446983,264876382909601015504481,237575965978862611456105,50000000000000000,24479410133312903
