block,phase,fair,price_on,price_off,kappa,trend,d,lp_on,lp_off,cum_lvr_on,cum_lvr_off,cum_noise_on,lp_vf,cum_lvr_vf,cum_noise_vf
26,0,4493010000000000196608,4490585230110484264651,4490585230110484264651,0,2,21323275081758704,9248545520579334179691326,9248545520579334179691326,1583137466979171475798,1583137466979171475798,0,9248648076341813942507951,1517628575456141834772,34127063007519777513
27,0,4491659999999999606784,4489167962919686575061,4489167962919686575061,0,2,196808924385604652,9247155995269157214298887,9247155995269157214298887,1583203664136831167537,1583203664136831167537,0,9247259320264474623778701,1517628575456141834772,34844677336441643586
28,0,4520449999999999672320,4535440106912239700683,4535440106912239700683,0,2,204667768836414115,9276756559469544649930092,9276756559469544649930092,1639121041927057768860,1639121041927057768860,0,9276866587598554766444350,1572821583913324515601,36966287028781575599
29,0,4592499999999999868928,4599361108118060425811,4599361108118060425811,0,2,123216732084490870,9350383714720351964954505,9350383714720351964954505,1821816768432845025613,1821816768432845025613,0,9350505246597013729753159,1746072424834242949403,38094548811691149516
30,0,4616540000000000131072,4610873574918329543387,4610873574918329543387,0,1,389855737657339531,9374823788298420057868998,9374823788298420057868998,1838104059161802008105,1838104059161802008105,0,9374950246798617994556241,1758920151140821913920,39235728107586610084
31,0,4577149999999999803392,4559017219546613630503,4559017219546613630503,0,1,426506845326915009,9334760030618421908900003,9334760030618421908900003,1900982202031069967307,1900982202031069967307,0,9334895362284870568084524,1815669731919673650904,42529718898161210007
32,0,4578600000000000262144,4554716994711536713074,4554716994711536713074,0,1,80910031536426474,9336252029327383810828952,9336252029327383810828952,1922422231098849185341,1922422231098849185341,0,9336396284509374075705793,1833087465637312229237,47410994488720778174
33,0,4602039999999999737856,4608970433982071455163,4608970433982071455163,0,1,55802048600589092,9360090494084780777282319,9360090494084780777282319,2047425072581367233259,2047425072581367233259,0,9360244750264100064370788,1949676069007642262611,48630749835731315654
34,0,4590579999999999868928,4567603653252735604815,4567603653252735604815,0,1,296897591978911086,9348455755620674976328561,9348455755620674976328561,2066104371101414540471,2066104371101414540471,0,9348618162801462448193361,1964630617288885102796,53261055017055831156
35,0,4590130000000000196608,4592864041330063892526,4592864041330063892526,0,1,55479861235672813,9347968539654694229432223,9347968539654694229432223,2094385367823281602565,2094385367823281602565,0,9348136291828625457441839,1988134026585661429600,53836012294728697499
36,0,4552080000000000000000,4529860008788871811939,4529860008788871811939,0,1,167064702814331347,9309170247752700910426987,9309170247752700910426987,2186962679978853727888,2186962679978853727888,0,9309350080307548279619542,2072422102180756928328,58344547561723644977
37,0,4541399999999999737856,4526367897003189215783,4526367897003189215783,0,1,134288330373375247,9298228286506457138362712,9298228286506457138362712,2194486629356941240595,2194486629356941240595,0,9298414154912707152361899,2077231488796555869951,61861809139806403464
38,0,4516189999999999803392,4542995692683704207297,4542995692683704207297,0,1,148726787132163505,9272412284260744758579655,9272412284260744758579655,2200360099379318488465,2200360099379318488465,0,9272605098088434558136462,2081045986989443205280,67261876472423716190
39,0,4477399999999999737856,4484298387563138253577,4484298387563138253577,0,1,50704112507867159,9232467896442099739147323,9232467896442099739147323,2444480668595283708807,2444480668595283708807,0,9232673477492767656374775,2312868867544232501802,68573801812017011038
40,0,4443910000000000065536,4445620204297746430026,4445620204297746430026,0,1,299950115354177367,9197872084238642516418171,9197872084238642516418171,2538593409283378439144,2538593409283378439144,0,9198086039016786338330160,2398255602073659869878,68949375716449021161
41,0,4471899999999999606784,4459548711318557748437,4459548711318557748437,0,2,419412219194857662,9226801700630572520691355,9226801700630572520691355,2578659721443566779418,2578659721443566779418,0,9227024970052006664512422,2432420000866157141876,71714765356823634852
42,0,4468399999999999475712,4469861002700136421713,4469861002700136421713,0,2,323464219289845077,9223181550028192550589234,9223181550028192550589234,2583192460451292384901,2583192460451292384901,0,9223406829806726701521841,2435151000390030044658,72011973681895017526
43,0,4486550000000000065536,4487804031574801096967,4487804031574801096967,0,2,250061891136652259,9241894154433714387229463,9241894154433714387229463,2599236901081537381176,2599236901081537381176,0,9242123176943565770835650,2448143410965016492904,72240879187306647629
44,0,4472749999999999803392,4489153166862141576127,4489153166862141576127,0,2,122970547535099331,9227685188047950172332673,9227685188047950172332673,2612259536590405492810,2612259536590405492810,0,9227919295762631403109106,2458558341118642032357,75075651852237737882
45,0,4501200000000000000000,4497744228611859478797,4497744228611859478797,0,2,112982543384155853,9256971298055399003451173,9256971298055399003451173,2620570124720473930920,2620570124720473930920,0,9257208449274938728674246,2465083410343915229190,75588349821623487911
46,0,4483489999999999672320,4474369230001830278833,4474369230001830278833,0,2,43527144156501073,9238746651599535077114059,9238746651599535077114059,2632205999837706132294,2632205999837706132294,0,9238986474390799465382442,2474803681322471094730,76813360020969117099
47,0,4483420000000000131072,4480766210781622210293,4480766210781622210293,0,2,202997219659007433,9238670145756357477236162,9238670145756357477236162,2636921732288503793659,2636921732288503793659,0,9238911577324309983158847,2478273408010430039536,77177978598709223715
48,0,4481270000000000589824,4495416194705801625753,4495416194705801625753,0,2,141600265418819211,9236465766970010790169010,9236465766970010790169010,2636936325794476415250,2636936325794476415250,0,9236708069610434777234504,2478273408010430039536,78092556712712213863
49,0,4481280000000000000000,4482068062232925795669,4482068062232925795669,0,2,3882751634831278,9236464639344723589362566,9236464639344723589362566,2648389043721303669155,2648389043721303669155,0,9236709451855648980150993,2487310512277464868093,78185961951444661074
50,0,4463500000000000131072,4469738516712458217914,4469738516712458217914,0,2,117928776545137027,9218125266071291490366768,9218125266071291490366768,2668246847939197180902,2668246847939197180902,0,9218372399221986364443037,2505072643506609304812,78893581861020090178
51,0,4485640000000000262144,4483693285304306266928,4483693285304306266928,0,2,215778577270657723,9240956974789192338092839,9240956974789192338092839,2682814694206285039260,2682814694206285039260,0,9241206652864699265479358,2517916089531144076558,79104638944083470332
52,0,4497640000000000262144,4512468170434251758286,4512468170434251758286,0,2,59331937552041495,9253321752342951757128917,9253321752342951757128917,2693971248238324059429,2693971248238324059429,0,9253574792852585652367384,2527601961050240310430,80660398852207744859
53,0,4447770000000000458752,4464882555971276174310,4464882555971276174310,0,2,191770929736915801,9201882664640258814671499,9201882664640258814671499,2933858831586174170116,2933858831586174170116,0,9202143911491058871648082,2759893977640924426398,82690827451910562313
54,0,4308970000000000458752,4286686270703093534791,4286686270703093534791,0,2,184913754765276067,9057178452217176253215011,9057178452217176253215011,4364220485438194848811,4364220485438194848811,0,9057461579228415799323804,4167657601686834314064,85962726561131095200
55,0,4196989999999999803392,4199123811841855840905,4199123811841855840905,0,2,664378750477947516,8938686611904103113462651,8938686611904103113462651,4863864525928897147249,4863864525928897147249,0,8938994480258272749182908,4639895142866861643274,86638649055811861000
56,0,4185800000000000262144,4195549189871010874035,4195549189871010874035,0,2,751515448912517212,8926768262008268353993989,8926768262008268353993989,4875134516013998363973,4875134516013998363973,0,8927084028832266434947914,4646404235091518875216,90150612541130871273
57,0,4171270000000000589824,4194177446041809664536,4194177446041809664536,0,2,754608439897892000,8911288608517218603419180,8911288608517218603419180,4912654206186322754221,4912654206186322754221,0,8911618441572224974694783,4676408049495924485954,97246779498780738955
58,0,4138749999999999803392,4153738771080228442204,4153738771080228442204,0,2,755980533234877814,8876464823905587391266357,8876464823905587391266357,5109025624776259857363,5109025624776259857363,0,8876812026192185280103401,4858134912023061144648,101255523396866796279
59,0,4203109999999999541248,4221540416932862614892,4221540416932862614892,0,2,795781775510614686,8945222496884226854368297,8945222496884226854368297,5265136899597693137472,5265136899597693137472,0,8945590592083346708197559,5000871936428135569802,106157313865726512067
60,0,4191850000000000458752,4183468288951622169654,4183468288951622169654,0,2,359733005199078567,8933215572357520900763114,8933215572357520900763114,5320762173843604796802,5320762173843604796802,0,8933594667661100529226989,5047504465983480835872,108682140196711923074
