id,block,pool,kind,zeroForOne,amount_in,amount_out
91,11156324,poincare,noise,1,221628867102885468,684643131011478949152
92,11156324,control,noise,1,221628867102885468,684643131011478949152
93,11156325,poincare,arb,0,4465699282910571559031,1443811107875651490
94,11156325,control,arb,0,4465699282910571559031,1443811107875651490
95,11156325,poincare,noise,1,2693068058830469370,8319056810571780284915
96,11156325,control,noise,1,2693068058830469370,8319056810571780284915
97,11156326,poincare,arb,0,9646948284201709865019,3121571546536231422
98,11156326,control,arb,0,9646948284201709865019,3121571546536231422
99,11156326,poincare,noise,1,2203013129419624406,6814591023329476956566
100,11156326,control,noise,1,2203013129419624406,6814591023329476956566
101,11156327,poincare,arb,0,12628916562595688522178,4074861745259803050
102,11156327,control,arb,0,12628916562595688522178,4074861745259803050
103,11156327,poincare,noise,1,277833761383377598,864411973696492067890
104,11156327,control,noise,1,277833761383377598,864411973696492067890
105,11156328,poincare,arb,0,7775262125319317040603,2493412978881161899
106,11156328,control,arb,0,7775262125319317040603,2493412978881161899
107,11156328,poincare,noise,1,285673323643253670,892836241046028040742
108,11156328,control,noise,1,285673323643253670,892836241046028040742
109,11156329,poincare,arb,0,10804399896786963841937,3445796523377298767
110,11156329,control,arb,0,10804399896786963841937,3445796523377298767
111,11156329,poincare,noise,0,5348899436846244061394,1696910506110003506
112,11156329,control,noise,0,5348899436846244061394,1696910506110003506
113,11156330,poincare,arb,1,2639396870573103057,8311693469809796582922
114,11156330,control,arb,1,2639396870573103057,8311693469809796582922
115,11156330,poincare,noise,0,2387310181568276422053,759563598052508998
116,11156330,control,noise,0,2387310181568276422053,759563598052508998
117,11156331,poincare,arb,1,999878850906329300,3141845981611759959645
118,11156331,control,arb,1,999878850906329300,3141845981611759959645
119,11156331,poincare,noise,1,623704685100501074,1956555751421761533759
120,11156331,control,noise,1,623704685100501074,1956555751421761533759
121,11156332,poincare,arb,1,67222861594864946,210727958634240955847
122,11156332,control,arb,1,67222861594864946,210727958634240955847
