id,block,scenario,pool,kind,zeroForOne,amount_in,amount_out
916,11156302,1,control,noise,1,1917627166959949072,8275583017725288471980
917,11156303,1,poincare,arb,0,13607796546372694262961,3148551809524926768
918,11156303,1,control,arb,0,13605444404297852854295,3148010753214586658
919,11156303,1,poincare,noise,1,1060269721204866408,4593891233436641771720
920,11156303,1,control,noise,1,1060269721204866408,4593888662136316856265
921,11156304,1,poincare,arb,0,5847678638326139360873,1349175065862611460
922,11156304,1,control,arb,0,5847124961325446923239,1349048076724192448
923,11156304,1,poincare,noise,1,915957142835731840,3972064267358495368463
924,11156304,1,control,noise,1,915957142835731840,3972062345713708607804
925,11156305,1,poincare,arb,0,17364748183185801373833,3989508318444324311
926,11156305,1,control,arb,0,17358859470510534171314,3988157330576170955
927,11156305,1,poincare,noise,0,4181398620498097289064,954960864634054521
928,11156305,1,control,noise,0,4181398620498097289064,954960380641269911
929,11156306,1,poincare,arb,1,87198264509354590,382207240017542133318
930,11156306,1,control,arb,1,87579207952855809,383877185032466348972
931,11156306,1,poincare,noise,0,10334069301365828638440,2304181656191302322
932,11156306,1,control,noise,0,10334069301365828638440,2351202834625001609
933,11156307,1,control,arb,0,2664814518443952109049,604131679366148418
934,11156307,1,poincare,noise,1,2562662620089148558,11259952608571179625324
935,11156307,1,control,noise,1,2562662620089148558,11277089375004186924139
936,11156308,1,control,arb,0,12620091351301104390383,2866795156565190613
937,11156308,1,poincare,noise,1,1277646050645056774,5587785967272391883582
938,11156308,1,control,noise,1,1277646050645056774,5635231666178361613484
939,11156309,1,control,arb,0,6565897954532326790819,1488270582672294226
940,11156309,1,poincare,noise,0,11186468699958983704065,2553841192625637898
941,11156309,1,control,noise,0,11186468699958983704065,2523276373354853071
942,11156310,1,poincare,arb,0,17301735863701431279616,3919108008692199923
943,11156310,1,control,arb,1,1035288665110907015,4598061005623338432551
944,11156310,1,poincare,noise,0,5986874813251185405024,1347479408334434285
945,11156310,1,control,noise,0,5986874813251185405024,1347478375010638101
946,11156311,1,poincare,arb,0,3659902454507041615098,805139474692643768
947,11156311,1,control,arb,0,3655387511552646547649,820556753846452207
948,11156311,1,poincare,noise,0,5920620707129749447176,1299094799809041609
949,11156311,1,control,noise,0,5920620707129749447176,1325579393129384439
950,11156312,1,poincare,arb,1,1045824543245654407,4672457487166225119069
951,11156312,1,control,arb,1,1067375278258837458,4768868773876837749727
952,11156312,1,poincare,noise,0,7656088557909222130471,1643759439891043587
953,11156312,1,control,noise,0,7656088557909222130471,1712247649514386420
954,11156313,1,poincare,arb,1,1444598740932206418,6460893759987696886124
955,11156313,1,control,arb,1,1478896201585444153,6614570894141101500493
956,11156313,1,poincare,noise,0,7975792773933182591551,1696673962949785913
957,11156313,1,control,noise,0,7975792773933182591551,1782578513629503828
958,11156314,1,control,arb,0,6554398312534316268147,1459105788049458193
959,11156314,1,poincare,noise,1,328612472661368652,1472765999077842027883
960,11156314,1,control,noise,1,328612472661368652,1478191671849072188729
961,11156315,1,control,arb,0,2028497349071646957442,450881790501784747
962,11156315,1,poincare,noise,0,9651765636484943668410,2056107719946102870
963,11156315,1,control,noise,0,9651765636484943668410,2138533523476658297
964,11156316,1,control,arb,0,1180410501361417937446,260773877186346527
965,11156316,1,poincare,noise,1,2266703112417556798,10178869376770983571604
966,11156316,1,control,noise,1,2266703112417556798,10235168808893450807852
967,11156317,1,control,arb,0,14859671586563368529369,3286731759674912259
968,11156317,1,poincare,noise,1,1175722042621626946,5257544283073217847771
969,11156317,1,control,noise,1,1175722042621626946,5329350372106245944704
970,11156318,1,control,arb,0,15848910864652401080650,3486531276763418286
971,11156318,1,poincare,noise,0,3814934743934319622898,849263583028853959
972,11156318,1,control,noise,0,3814934743934319622898,834775914675537576
973,11156319,1,poincare,arb,0,41862855479949865628666,9249976257583776106
974,11156319,1,control,arb,0,1085420751237736359432,237195383897766521
975,11156319,1,poincare,noise,1,896772516578387418,4100349751724129556343
976,11156319,1,control,noise,1,896772516578387418,4100346813020729116067
977,11156320,1,poincare,arb,0,13135038947997916602016,2808419422586273624
978,11156320,1,control,arb,0,13129184098971725023930,2864458777284287537
979,11156320,1,poincare,noise,0,12625561043484027841672,2681032702295877251
980,11156320,1,control,noise,0,12625561043484027841672,2735547638532985619
981,11156321,1,poincare,arb,1,2519338836680381388,11629154245259843813867
982,11156321,1,control,arb,1,2575177745849731523,11887755487883559960877
983,11156321,1,poincare,noise,0,9671128629837894086991,2012402722711924883
984,11156321,1,control,noise,0,9671128629837894086991,2096248933555341839
985,11156322,1,control,arb,0,1924579917932790831988,415861152642762653
986,11156322,1,poincare,noise,1,2840397412573439228,13090848580806313573519
987,11156322,1,control,noise,1,2840397412573439228,13105729277167145817442
988,11156323,1,control,arb,0,17139769036774201609278,3710676299873070656
989,11156323,1,poincare,noise,1,2571822679733526712,11773978017705195315311
990,11156323,1,control,noise,1,2571822679733526712,11896128692568238834761
991,11156324,1,control,arb,0,25959764156940999095335,5591163599370469770
992,11156324,1,poincare,noise,0,6619260463891228698470,1438406204454632045
993,11156324,1,control,noise,0,6619260463891228698470,1413263718637515916
994,11156325,1,poincare,arb,0,49602697437996503804331,10687764450912852610
995,11156325,1,control,arb,0,4468842951854507896112,951316299364373920
996,11156325,1,poincare,noise,0,683064281335501476621,145209664594856296
997,11156325,1,control,noise,0,683064281335501476621,145209644136217866
998,11156326,1,poincare,arb,0,9751176089793847200085,2025877714508045127
999,11156326,1,control,arb,0,9743090464059428197665,2065507736527478462
1000,11156326,1,poincare,noise,0,9607508876641771183458,1985908295104490123
1001,11156326,1,control,noise,0,9607508876641771183458,2026327934813068431
1002,11156327,1,control,arb,0,3601020973910430884740,756840421869600313
1003,11156327,1,poincare,noise,1,2413786322839998238,11437824898990829058824
1004,11156327,1,control,noise,1,2413786322839998238,11460809403370427914843
1005,11156328,2,control,arb,0,36054276104149337287270,7544383677214090605
1006,11156328,2,poincare,noise,1,2056484088561559390,9690254602957502906786
1007,11156328,2,control,noise,1,2056484088561559390,9896065804313917984921
1008,11156329,2,poincare,arb,0,74908145543082753747310,15626659065914061501
1009,11156329,2,control,arb,0,35235587936836138855831,7273798987968952950
1010,11156329,2,poincare,noise,1,587899066343526048,2872179606670721626708
1011,11156329,2,control,noise,1,587899066343526048,2872177826839869829263
1012,11156330,2,poincare,arb,0,19933316190265823268657,3980778308418911438
1013,11156330,2,control,arb,0,19919216927200408681886,4059148044292374204
1014,11156330,2,poincare,noise,0,10117274291508380594812,2004947650555477617
1015,11156330,2,control,noise,0,10117274291508380594812,2045647589028364006
1016,11156331,2,control,arb,0,20197671964768344626169,4051908166291806728
1017,11156331,2,poincare,noise,0,5896937864344529789723,1140069560476982960
1018,11156331,2,control,noise,0,5896937864344529789723,1175050366606394507
1019,11156332,2,control,arb,0,10380621750025148917434,2059841551445677162
1020,11156332,2,poincare,noise,0,5206394054879825150417,993290866324404449
1021,11156332,2,control,noise,0,5206394054879825150417,1028981756793075103
1022,11156333,2,control,arb,0,19408910437393031924212,3811840591827036143
1023,11156333,2,poincare,noise,1,397108473517422578,1978926335522543351549
1024,11156333,2,control,noise,1,397108473517422578,2030986823252129097134
1025,11156334,2,control,arb,0,23031307598928086877914,4479186039614815136
1026,11156334,2,poincare,noise,1,845684605183252204,4207598712379427839442
1027,11156334,2,control,noise,1,845684605183252204,4369106882002564467585
1028,11156335,2,control,arb,0,14425156559406811414974,2785024332040142843
1029,11156335,2,poincare,noise,0,9482698457734098097324,1823363681462406420
1030,11156335,2,control,noise,0,9482698457734098097324,1819740844793066560
1031,11156336,2,poincare,arb,0,109621465642602357453091,20418371389380663391
1032,11156336,2,control,arb,0,21508034961014836227865,4095279216545697598
1033,11156336,2,poincare,noise,1,1421145753780127908,7480980437040121558117
1034,11156336,2,control,noise,1,1421145753780127908,7490158481874318052628
1035,11156337,2,control,arb,0,22937723841541822228483,4335264710736859079
1036,11156337,2,poincare,noise,1,771102816815437002,4047377566878958901929
1037,11156337,2,control,noise,1,771102816815437002,4099223319670152081258
1038,11156338,2,control,arb,0,31413355055717800506750,5869028920945051577
1039,11156338,2,poincare,noise,0,1567195569706292540668,285082674874594573
1040,11156338,2,control,noise,0,1567195569706292540668,290403196096378601
1041,11156339,2,control,arb,0,10394508818625139365242,1920404633293173453
1042,11156339,2,poincare,noise,0,9199415664005552901051,1672187550203560281
1043,11156339,2,control,noise,0,9199415664005552901051,1691374136619557901
1044,11156340,2,control,arb,0,12523737907677211311856,2290242605702910266
1045,11156340,2,poincare,noise,0,3537368014448850588746,640151588615051133
1046,11156340,2,control,noise,0,3537368014448850588746,644327040544711637
1047,11156341,2,poincare,arb,0,93434782187129214288300,16525780772977400362
1048,11156341,2,control,arb,0,13295789424232991505331,2411802925260009054
1049,11156341,2,poincare,noise,0,6586276234191218862477,1137579644323779360
1050,11156341,2,control,noise,0,6586276234191218862477,1188902136847274610
1051,11156342,2,control,arb,0,15435703711877874951320,2771347594643425635
1052,11156342,2,poincare,noise,1,2925775868271606258,16152292336173972193887
1053,11156342,2,control,noise,1,2925775868271606258,16292408299189174362046
1054,11156343,2,control,arb,0,47993863788975637995667,8552492046779874711
1055,11156343,2,poincare,noise,0,6659000548772447467920,1159550752486220734
1056,11156343,2,control,noise,0,6659000548772447467920,1170943380109146268
1057,11156344,2,control,arb,0,7475214077311896651524,1309983077480047069
1058,11156344,2,poincare,noise,0,12907442250336470510856,2236615291093432056
1059,11156344,2,control,noise,0,12907442250336470510856,2250847665231094504
1060,11156345,2,poincare,arb,0,89060659102242630860212,15016210582750736062
1061,11156345,2,control,arb,0,15409789057804557295036,2668966223805504117
1062,11156345,2,poincare,noise,0,7478937078468481124884,1233095407419524373
1063,11156345,2,control,noise,0,7478937078468481124884,1288249381872982959
1064,11156346,2,control,arb,0,24760285559528863131005,4232243562624505611
1065,11156346,2,poincare,noise,0,15689609340245163506382,2555901256275098938
1066,11156346,2,control,noise,0,15689609340245163506382,2656083526105170306
1067,11156347,2,control,arb,0,4777689991284879977349,804891281057674049
1068,11156347,2,poincare,noise,0,10951442300024629677100,1773086830374336910
1069,11156347,2,control,noise,0,10951442300024629677100,1838120129840415515
1070,11156348,2,control,arb,0,5491003609880810222114,918050033619476025
1071,11156348,2,poincare,noise,0,11902715620165403756174,1916928869778899989
1072,11156348,2,control,noise,0,11902715620165403756174,1981891535949753592
1073,11156349,2,control,arb,0,2800656467413219077165,464718308180970577
1074,11156349,2,poincare,noise,1,125849978549997696,744224672280556352398
1075,11156349,2,control,noise,1,125849978549997696,758807778067187721778
1076,11156350,2,control,arb,0,33770378674165111585491,5557758601415756073
1077,11156350,2,poincare,noise,1,657067414710364754,3881371106797833274756
1078,11156350,2,control,noise,1,657067414710364754,4020441556512640996357
1079,11156351,2,poincare,arb,0,101082263956399977575442,16004923441219104525
1080,11156351,2,control,arb,0,26090715047407699157583,4242206180746376000
1081,11156351,2,poincare,noise,1,1668779157632040298,10290746433706040579012
1082,11156351,2,control,noise,1,1668779157632040298,10301284746082234059772
1083,11156352,2,control,arb,0,30184768871269224437027,4867384989813223897
1084,11156352,2,poincare,noise,1,2553373693505993064,15651203116870741083870
1085,11156352,2,control,noise,1,2553373693505993064,15887251574328583179860
1086,11156353,2,control,arb,0,32188975265356734518894,5153949707167100902
1087,11156353,2,poincare,noise,0,17107582226642826601249,2674412333118394598
1088,11156353,2,control,noise,0,17107582226642826601249,2708228888641044204
1089,11156354,2,control,arb,0,11844265775196471288685,1862603664603836656
1090,11156354,2,poincare,noise,1,614924802093659644,3781598749054055387881
1091,11156354,2,control,noise,1,614924802093659644,3917402936753518036000
1092,11156355,2,poincare,arb,0,109465371589429032108183,16654008257213432898
1093,11156355,2,control,arb,0,32690096030043926012277,5097910945786994903
1094,11156355,2,poincare,noise,0,9495813217506874552460,1407359055353811647
1095,11156355,2,control,noise,0,9495813217506874552460,1466680725035087596
1096,11156356,2,control,arb,0,20085833141529019437238,3081660761388058897
1097,11156356,2,poincare,noise,1,2905449003234150318,18749945579095453378764
1098,11156356,2,control,noise,1,2905449003234150318,18942218340768054738186
1099,11156357,2,control,arb,0,34955018092098970894887,5342268017846101199
1100,11156357,2,poincare,noise,0,15016984651529791210312,2234805608693989886
1101,11156357,2,control,noise,0,15016984651529791210312,2269387737480208309
1102,11156358,2,control,arb,0,15908170048526497870995,2387465869845298539
1103,11156358,2,poincare,noise,1,93101587643619406,602192291725518890984
1104,11156358,2,control,noise,1,93101587643619406,622479480399103659407
1105,11156359,2,control,arb,0,16990654421399592023994,2531966334024342257
1106,11156359,2,poincare,noise,0,5384820716926320605248,797727325571601586
1107,11156359,2,control,noise,0,5384820716926320605248,798462564453983060
1108,11156360,2,poincare,arb,0,117455391670824403305825,16940085547866237133
1109,11156360,2,control,arb,0,26244867621213795152474,3864404959755286620
1110,11156360,2,poincare,noise,0,18121420889449905017840,2538657819497800350
1111,11156360,2,control,noise,0,18121420889449905017840,2642228206410337045
1112,11156361,2,control,arb,0,10953580517871951377083,1586915385785497103
1113,11156361,2,poincare,noise,0,13149993431963025885719,1811301983064305492
1114,11156361,2,control,noise,0,13149993431963025885719,1895073740954999888
1115,11156362,2,control,arb,0,78836611778299679390,11328419900323979
1116,11156362,2,poincare,noise,0,3424611085573293537062,470072797057027490
1117,11156362,2,control,noise,0,3424611085573293537062,491722151720124534
1118,11156363,2,control,arb,0,8015486634246606693879,1148027829293578137
1119,11156363,2,poincare,noise,0,7110224817761958894821,975084371185929359
1120,11156363,2,control,noise,0,7110224817761958894821,1015013085444653466
1121,11156364,2,control,arb,0,3159929255901311337540,450083449796447974
1122,11156364,2,poincare,noise,1,115864700045949240,804761790960556642778
1123,11156364,2,control,noise,1,115864700045949240,813874583389994752268
1124,11156365,2,control,arb,0,35127683716904118933660,4963742248913648815
1125,11156365,2,poincare,noise,0,18787938904304673969622,2570620192735538722
1126,11156365,2,control,noise,0,18787938904304673969622,2624021318567270176
1127,11156366,2,control,arb,0,17653101298768225537722,2446250719395180663
1128,11156366,2,poincare,noise,0,15045280772299875854817,2035165212200270895
1129,11156366,2,control,noise,0,15045280772299875854817,2070299281884418078
1130,11156367,2,control,arb,1,693040804574063677,5047268522832713936476
1131,11156367,2,poincare,noise,1,1104924671040075710,7770898812962465345062
1132,11156367,2,control,noise,1,1104924671040075710,8024439452988262058718
1133,11156368,2,control,arb,0,36944287002152530265338,5055743961617440076
1134,11156368,2,poincare,noise,0,11490268423969450821555,1559495588865312028
1135,11156368,2,control,noise,0,11490268423969450821555,1556255345314159174
1136,11156369,2,poincare,arb,0,127014929025081646110955,16711105639555403605
1137,11156369,2,control,arb,0,14891501892358380516625,2005665766546901455
1138,11156369,2,poincare,noise,1,2362428658960020364,17508734752877948966561
1139,11156369,2,control,noise,1,2362428658960020364,17530542047562043109841
1140,11156370,2,control,arb,0,36352560791461828101350,4879468548718312216
1141,11156370,2,poincare,noise,0,8234268126389295370398,1057550039031138030
1142,11156370,2,control,noise,0,8234268126389295370398,1094889233016683520
1143,11156371,2,control,arb,0,12225596174993138067121,1618627636092113690
1144,11156371,2,poincare,noise,1,195204953354721370,1445849086215499521274
1145,11156371,2,control,noise,1,195204953354721370,1477728550081999021660
1146,11156372,2,control,arb,0,25199729092113808679502,3312347558944470685
1147,11156372,2,poincare,noise,0,19031331180630993457701,2439643822528274638
1148,11156372,2,control,noise,0,19031331180630993457701,2478542065358507948
1149,11156373,2,control,arb,0,128571897263204018850,16677827506687361
1150,11156373,2,poincare,noise,0,20945434942819087100590,2654662717542453888
1151,11156373,2,control,noise,0,20945434942819087100590,2705103054714698434
1152,11156374,2,control,arb,1,39108843666402899,304116918295218141751
1153,11156374,2,poincare,noise,0,9479108693652286123673,1194033003927015085
1154,11156374,2,control,noise,0,9479108693652286123673,1216683784713314821
1155,11156375,2,control,arb,0,8767920476336770769121,1121164000116766832
1156,11156375,2,poincare,noise,1,2524095715386095758,18996442114237562262661
1157,11156375,2,control,noise,1,2524095715386095758,19694798972496767254142
1158,11156376,2,poincare,arb,0,141312757317544831246838,17759809351504764510
1159,11156376,2,control,arb,0,54283160589507588250622,6907675493333353911
1160,11156376,2,poincare,noise,1,365729634222232006,2902060505240389845128
1161,11156376,2,control,noise,1,365729634222232006,2904626266642394452110
1162,11156377,2,control,arb,0,32301962558803574516889,4042889275602147298
1163,11156377,2,poincare,noise,1,2790660341783189370,22031487031730932009693
1164,11156377,2,control,noise,1,2790660341783189370,22342385317155774183485
1165,11156378,2,control,arb,0,44229582857639072752670,5499958901432772844
1166,11156378,2,poincare,noise,0,16591130465464027654439,2019711397718015696
1167,11156378,2,control,noise,0,16591130465464027654439,2037764108259170269
1168,11156379,2,control,arb,0,3013314515777964534837,368638074617471610
1169,11156379,2,poincare,noise,1,2467948791369994736,19448167855876832551047
1170,11156379,2,control,noise,1,2467948791369994736,20103817113006465154669
1171,11156380,2,poincare,arb,0,131061062163113986590649,15886811935614000817
1172,11156380,2,control,arb,0,49287604436825625236056,6015118482347052542
1173,11156380,2,poincare,noise,0,18027545013924455477646,2121843359887777298
1174,11156380,2,control,noise,0,18027545013924455477646,2170487602028579736
1175,11156381,2,control,arb,0,21615342586965691617352,2581910801118423289
1176,11156381,2,poincare,noise,0,3481263806651740404933,399676476628585873
1177,11156381,2,control,noise,0,3481263806651740404933,413753763458759124
1178,11156382,2,control,arb,0,16655678959164087421763,1971648798651988293
1179,11156382,2,poincare,noise,0,24235839998845331198623,2751154367406761683
1180,11156382,2,control,noise,0,24235839998845331198623,2845811039933791119
1181,11156383,2,control,arb,0,693179016794765652596,80993771298346384
1182,11156383,2,poincare,noise,1,1282355771183299558,10773571490114901187858
1183,11156383,2,control,noise,1,1282355771183299558,10952721113048121651987
1184,11156384,2,control,arb,0,39165463686793031555636,4560144002033958504
1185,11156384,2,poincare,noise,0,18478073051579221618573,2099548838882520001
1186,11156384,2,control,noise,0,18478073051579221618573,2127203480272913452
1187,11156385,2,control,arb,0,8678641110569879582713,993792462924463893
1188,11156385,2,poincare,noise,0,10943072793895361195771,1231929205711722567
1189,11156385,2,control,noise,0,10943072793895361195771,1248303405219464533
1190,11156386,2,control,arb,0,24982113545225712560196,2829925802171472683
1191,11156386,2,poincare,noise,0,16183613143652231453992,1810460781702343015
1192,11156386,2,control,noise,0,16183613143652231453992,1818665315827080059
1193,11156387,2,control,arb,0,1414471341383240797875,158413594527799866
1194,11156387,2,poincare,noise,0,13176032064351828390684,1463309366458531918
1195,11156387,2,control,noise,0,13176032064351828390684,1471499706393796931
1196,11156388,2,control,arb,0,2835971612849338670042,315744706169869693
1197,11156388,2,poincare,noise,1,1249228934508711994,10689804984508831346093
1198,11156388,2,control,noise,1,1249228934508711994,11202297866850951114912
1199,11156389,2,poincare,arb,0,143142964009436222522124,15587728379880602536
1200,11156389,2,control,arb,0,22330429429184384218222,2484861659057162714
1201,11156389,2,poincare,noise,1,2879466232006451802,25828173542642157134032
1202,11156389,2,control,noise,1,2879466232006451802,25858955536800022233073
1203,11156390,2,control,arb,0,51297175538959485649627,5684293503742670431
1204,11156390,2,poincare,noise,1,1118936378278041750,9968085253331385492878
1205,11156390,2,control,noise,1,1118936378278041750,10177890993607361930588
1206,11156391,2,control,arb,0,41770871429351027007048,4564624136533602692
1207,11156391,2,poincare,noise,1,680524866720312942,6043873707512536760201
1208,11156391,2,control,noise,1,680524866720312942,6269845741173567942966
1209,11156392,2,poincare,arb,0,122282021336458838837297,12930936918801742375
1210,11156392,2,control,arb,0,25815449549359813910658,2791619242188419640
1211,11156392,2,poincare,noise,0,4091498461836112834148,422795679889332267
1212,11156392,2,control,noise,0,4091498461836112834148,439940448024046137
1213,11156393,2,control,arb,0,27524696740400012760009,2941990701455935730
1214,11156393,2,poincare,noise,1,2665213269982297942,24666956755193920654003
1215,11156393,2,control,noise,1,2665213269982297942,24947382622365552196799
1216,11156394,2,control,arb,0,56707687756342828275381,6022264762591735154
1217,11156394,2,poincare,noise,1,875289286962676822,8051184671751177254584
1218,11156394,2,control,noise,1,875289286962676822,8317461662352972229183
1219,11156395,2,poincare,arb,0,132095946817465165304968,13755273511320711649
1220,11156395,2,control,arb,0,44964957453984589470429,4699661452683507475
1221,11156395,2,poincare,noise,1,863013631323262650,8309800534437976684706
1222,11156395,2,control,noise,1,863013631323262650,8313781299826777618680
1223,11156396,2,control,arb,0,45465986422416882133787,4687237363099915504
1224,11156396,2,poincare,noise,1,1219495737792760850,11699007221456897079760
1225,11156396,2,control,noise,1,1219495737792760850,11902961195325054356678
1226,11156397,2,control,arb,0,40927910598597266826145,4170845875263225646
1227,11156397,2,poincare,noise,1,1716386676407078332,16380509842519314346966
1228,11156397,2,control,noise,1,1716386676407078332,16917470839647134837822
1229,11156398,2,poincare,arb,0,135318670407220597451857,13542248681189230019
1230,11156398,2,control,arb,0,47467562584362961221802,4789027233807800774
1231,11156398,2,poincare,noise,0,25485488984861165505819,2478108357749828702
1232,11156398,2,control,noise,0,25485488984861165505819,2537152918211532808
1233,11156399,2,control,arb,0,17839380414287624575316,1762022338262468656
1234,11156399,2,poincare,noise,1,757275221963338884,7625623622107609658330
1235,11156399,2,control,noise,1,757275221963338884,7681095387828074336352
1236,11156400,2,control,arb,0,33766345485678790955131,3313349323367595126
1237,11156400,2,poincare,noise,0,18510584703133866289406,1751685423959772128
1238,11156400,2,control,noise,0,18510584703133866289406,1799302124586670472
1239,11156401,2,control,arb,0,9811817351637607056115,948901799068612133
1240,11156401,2,poincare,noise,0,17215949631826448092013,1614015787970809321
1241,11156401,2,control,noise,0,17215949631826448092013,1656908540836759450
1242,11156402,2,control,arb,0,1825610522469256536019,175103464388164668
1243,11156402,2,poincare,noise,1,1931836729550027242,19602705864354689180533
1244,11156402,2,control,noise,1,1931836729550027242,20075394218798786467112
1245,11156403,2,control,arb,0,53821944457085058379223,5148176722732687869
1246,11156403,2,poincare,noise,0,24363270235417778572483,2326972799442440187
1247,11156403,2,control,noise,0,24363270235417778572483,2298156860866193878
1248,11156404,2,poincare,arb,0,113604265454331859428459,10411092973920193792
1249,11156404,2,control,arb,1,722042783632272633,7677232742885605682929
1250,11156404,2,poincare,noise,0,28933713414233786977651,2588023703983876462
1251,11156404,2,control,noise,0,28933713414233786977651,2711015747810854328
1252,11156405,2,poincare,arb,1,1060074694917478981,11334855490804741388631
1253,11156405,2,control,arb,1,1386175896163157718,14831131700967778163086
1254,11156405,2,poincare,noise,1,1305763784194965296,13900362322243046246748
1255,11156405,2,control,noise,1,1305763784194965296,13900020698642648754386
1256,11156406,2,control,arb,0,47657959489703408704146,4450421857098743808
1257,11156406,2,poincare,noise,1,475046863850785518,5040298939416499176772
1258,11156406,2,control,noise,1,475046863850785518,5125439713788325817553
1259,11156407,2,control,arb,0,35219125903394800557081,3247085816501340952
1260,11156407,2,poincare,noise,1,50165004757152364,531735979452719333969
1261,11156407,2,control,noise,1,50165004757152364,547426097366464789175
1262,11156408,2,poincare,arb,0,120048916376632632502352,11091357218292436747
1263,11156408,2,control,arb,0,36266146338004762624572,3302738225940590737
1264,11156408,2,poincare,noise,1,2604960700443134932,28643567088322185267123
1265,11156408,2,control,noise,1,2604960700443134932,28642225296872611017186
1266,11156409,2,poincare,arb,0,72399871778010505137856,6403552200902524732
1267,11156409,2,control,arb,0,71952271393557701887241,6495077274839268920
1268,11156409,2,poincare,noise,1,1135616191853358950,12707494901836303204840
1269,11156409,2,control,noise,1,1135616191853358950,12710410953223185416601
1270,11156410,2,control,arb,0,50156976832115158609855,4452550757359545338
1271,11156410,2,poincare,noise,0,13314506062374294569794,1141983688385291427
1272,11156410,2,control,noise,0,13314506062374294569794,1169139224302673766
1273,11156411,2,control,arb,0,13999777813829448559152,1223588151919045017
1274,11156411,2,poincare,noise,1,2872234927644721272,32037651591991105912709
1275,11156411,2,control,noise,1,2872234927644721272,32757554285676336710946
1276,11156412,2,control,arb,0,58249740494476104866615,5085330137569651912
1277,11156412,2,poincare,noise,0,10803025382601248255916,942872461376177249
1278,11156412,2,control,noise,0,10803025382601248255916,932093379073984673
1279,11156413,2,poincare,arb,0,158814065217415476219645,13747549675461655937
1280,11156413,2,control,arb,0,34563515859742673242391,2959377598353886701
1281,11156413,2,poincare,noise,0,35467900775988261665814,2972177350572531357
1282,11156413,2,control,noise,0,35467900775988261665814,3001201129844365849
1283,11156414,2,poincare,arb,1,246522775259483682,2928040903814216606873
1284,11156414,2,control,arb,1,357578860409009696,4248055073140295187541
1285,11156414,2,poincare,noise,1,2488390420108677344,29397166826679267579921
1286,11156414,2,control,noise,1,2488390420108677344,29395665696216306137868
1287,11156415,2,control,arb,0,62718602061827619370038,5279749683692138218
1288,11156415,2,poincare,noise,0,5828042643509309263866,476173137402524046
1289,11156415,2,control,noise,0,5828042643509309263866,485015225498686501
1290,11156416,2,control,arb,0,15530101833256721769712,1287846308794423065
1291,11156416,2,poincare,noise,1,1669513845708284058,19600273424758626403967
1292,11156416,2,control,noise,1,1669513845708284058,20117245728882444104290
1293,11156417,2,poincare,arb,0,115910223242837744969915,9545866690579468484
1294,11156417,2,control,arb,0,37309851577251452321195,3087500224471575263
1295,11156417,2,poincare,noise,1,201950978553281612,2453752547818318733398
1296,11156417,2,control,noise,1,201950978553281612,2454579488549265079724
1297,11156418,2,control,arb,0,20481880875589325460749,1680135632856731507
1298,11156418,2,poincare,noise,0,11064005905290700797333,875096761282315000
1299,11156418,2,control,noise,0,11064005905290700797333,902866477309207733
1300,11156419,2,control,arb,0,30821062497940515754955,2497849178201630248
1301,11156419,2,poincare,noise,0,8876645085421490980393,690856412171673414
1302,11156419,2,control,noise,0,8876645085421490980393,714719879351043496
1303,11156420,2,control,arb,0,13275223506462094569125,1065011950346689504
1304,11156420,2,poincare,noise,0,21452756324748759785339,1661760490885082841
1305,11156420,2,control,noise,0,21452756324748759785339,1711329650954473606
1306,11156421,2,control,arb,0,23663193617759485505461,1873850828866224960
1307,11156421,2,poincare,noise,1,133531660892215060,1642913634965785269932
1308,11156421,2,control,noise,1,133531660892215060,1692283257573909698466
1309,11156422,2,control,arb,0,18504787756353285234746,1456172788893235558
1310,11156422,2,poincare,noise,1,2445570173789287972,29934502840249428653297
1311,11156422,2,control,noise,1,2445570173789287972,31014814279085406998362
1312,11156423,2,poincare,arb,0,154094469879118927809591,12005765547054594675
1313,11156423,2,control,arb,0,44766112424700769967505,3522050764636315088
1314,11156423,2,poincare,noise,0,15694632910336369568722,1190548655003057479
1315,11156423,2,control,noise,0,15694632910336369568722,1222786171868183506
1316,11156424,2,control,arb,0,21867439354263585479055,1693452472220755402
1317,11156424,2,poincare,noise,1,223602683106350466,2873612410959470062106
1318,11156424,2,control,noise,1,223602683106350466,2896182933509310329638
1319,11156425,2,control,arb,0,24278249835910670724161,1868020295936803328
1320,11156425,2,poincare,noise,1,2822067354215011720,36042839923724915644348
1321,11156425,2,control,noise,1,2822067354215011720,36605241978421486422999
1322,11156426,2,control,arb,0,61381029803840165656682,4713481598094219888
1323,11156426,2,poincare,noise,1,1942653636686980258,24571578334616071566864
1324,11156426,2,control,noise,1,1942653636686980258,25444257853976335968520
1325,11156427,2,poincare,arb,0,160710215947265288202710,12350904002201347993
1326,11156427,2,control,arb,0,51066913385536268404865,3883087576564413434
1327,11156427,2,poincare,noise,0,3459300926671535394436,259059392670650249
1328,11156427,2,control,noise,0,3459300926671535394436,260769568916737470
1329,11156428,2,control,arb,0,14098334855738661152516,1059812458413210131
1330,11156428,2,poincare,noise,1,368850254388217326,4891073071606038068674
1331,11156428,2,control,noise,1,368850254388217326,4913834682601165247720
1332,11156429,2,control,arb,0,51757108708840874246962,3856511767390817721
1333,11156429,2,poincare,noise,0,21583504185955489798660,1548390760521545916
1334,11156429,2,control,noise,0,21583504185955489798660,1589773985162486368
