id,block,scenario,pool,kind,zeroForOne,amount_in,amount_out
85,11156089,0,poincare,arb,0,475915940304206848714,160271394663035623
86,11156089,0,control,arb,0,475915940304206848714,160271394663035623
87,11156089,0,poincare,noise,1,1972171775296232712,5845704546806114409298
88,11156089,0,control,noise,1,1972171775296232712,5845704546806114409298
89,11156090,0,poincare,arb,0,3305841431235243571635,1116245172993860261
90,11156090,0,control,arb,0,3305841431235243571635,1116245172993860261
91,11156090,0,poincare,noise,0,2131082251300874745049,718266986534011804
92,11156090,0,control,noise,0,2131082251300874745049,718266986534011804
93,11156091,0,poincare,arb,1,2019883291214991027,5985204339755163175558
94,11156091,0,control,arb,1,2019883291214991027,5985204339755163175558
95,11156091,0,poincare,noise,0,7586370948323188106259,2558871254973584053
96,11156091,0,control,noise,0,7586370948323188106259,2558871254973584053
97,11156092,0,poincare,arb,1,3788444767313205479,11218033892843575368952
98,11156092,0,control,arb,1,3788444767313205479,11218033892843575368952
99,11156092,0,poincare,noise,1,568184130560679458,1675196123838422529140
100,11156092,0,control,noise,1,568184130560679458,1675196123838422529140
101,11156093,0,poincare,arb,1,184333720727542283,543071973742307717770
102,11156093,0,control,arb,1,184333720727542283,543071973742307717770
103,11156093,0,poincare,noise,1,1148470723565005282,3379086014073362560670
104,11156093,0,control,noise,1,1148470723565005282,3379086014073362560670
105,11156094,0,poincare,arb,0,743306950651275299170,252856500076845799
106,11156094,0,control,arb,0,743306950651275299170,252856500076845799
107,11156094,0,poincare,noise,1,593228721670689620,1743291276725700448100
108,11156094,0,control,noise,1,593228721670689620,1743291276725700448100
109,11156095,0,poincare,arb,0,3748972291144568491364,1274885732794202783
110,11156095,0,control,arb,0,3748972291144568491364,1274885732794202783
111,11156095,0,poincare,noise,0,3422910212626683138717,1161198529558481281
112,11156095,0,control,noise,0,3422910212626683138717,1161198529558481281
113,11156096,0,poincare,arb,1,573104191460207277,1690346405788081260660
114,11156096,0,control,arb,1,573104191460207277,1690346405788081260660
115,11156096,0,poincare,noise,1,966316669053069990,2845764858299752477158
116,11156096,0,control,noise,1,966316669053069990,2845764858299752477158
117,11156097,0,poincare,arb,0,3523830135522803946335,1196289828468955448
118,11156097,0,control,arb,0,3523830135522803946335,1196289828468955448
119,11156097,0,poincare,noise,0,8915605428042817381252,3014100078294009674
120,11156097,0,control,noise,0,8915605428042817381252,3014100078294009674
121,11156098,0,poincare,arb,1,1728243131936184396,5118610107772181190865
122,11156098,0,control,arb,1,1728243131936184396,5118610107772181190865
123,11156098,0,poincare,noise,1,519596149414278834,1535477316611500999900
124,11156098,0,control,noise,1,519596149414278834,1535477316611500999900
125,11156099,0,poincare,arb,0,2101555033004258975536,711018248983992193
126,11156099,0,control,arb,0,2101555033004258975536,711018248983992193
127,11156099,0,poincare,noise,0,1775087487512702336429,599783507500868268
128,11156099,0,control,noise,0,1775087487512702336429,599783507500868268
129,11156100,0,poincare,arb,1,520947488601888876,1541889281457542992178
130,11156100,0,control,arb,1,520947488601888876,1541889281457542992178
131,11156100,0,poincare,noise,1,758714782522893094,2242776424041744287275
132,11156100,0,control,noise,1,758714782522893094,2242776424041744287275
133,11156101,0,poincare,arb,1,354674982867430588,1047268631955890177903
134,11156101,0,control,arb,1,354674982867430588,1047268631955890177903
135,11156101,0,poincare,noise,0,8586253077949861675092,2900531949635495686
136,11156101,0,control,noise,0,8586253077949861675092,2900531949635495686
137,11156102,0,poincare,arb,1,4366338463844204524,12906617503374501860490
138,11156102,0,control,arb,1,4366338463844204524,12906617503374501860490
139,11156102,0,poincare,noise,1,2140007763672002048,6285046884787866699111
140,11156102,0,control,noise,1,2140007763672002048,6285046884787866699111
141,11156103,0,poincare,arb,0,2843741092598022653996,969393583053103645
142,11156103,0,control,arb,0,2843741092598022653996,969393583053103645
143,11156103,0,poincare,noise,0,4091971402260530026713,1391643568291149209
144,11156103,0,control,noise,0,4091971402260530026713,1391643568291149209
145,11156104,0,poincare,arb,1,2747212562415124471,8067050781013989112604
146,11156104,0,control,arb,1,2747212562415124471,8067050781013989112604
147,11156104,0,poincare,noise,1,2728454570657934278,7968740645592027087120
148,11156104,0,control,noise,1,2728454570657934278,7968740645592027087120
149,11156105,0,poincare,arb,0,10371226604427618532707,3548177061538190360
150,11156105,0,control,arb,0,10371226604427618532707,3548177061538190360
151,11156105,0,poincare,noise,0,8142618242131602142246,2768392855528759400
152,11156105,0,control,noise,0,8142618242131602142246,2768392855528759400
153,11156106,0,poincare,arb,1,4228342709806459528,12418811457725915155153
154,11156106,0,control,arb,1,4228342709806459528,12418811457725915155153
